Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,110.5,110.5,109.5,109.5,94.21357727050781,8125141
2020-01-03,110.0,110.5,109.5,110.5,95.073974609375,7416848
2020-01-06,110.5,110.5,110.0,110.0,94.64378356933594,5303895
2020-01-07,110.0,110.0,108.5,109.5,94.21357727050781,14171476
2020-01-08,109.5,110.0,109.0,109.0,93.78337860107422,9437253
2020-01-09,109.5,110.0,109.0,109.5,94.21357727050781,7520338
2020-01-10,109.5,110.0,109.0,109.5,94.21357727050781,5737892
2020-01-13,109.5,110.0,108.5,110.0,94.64378356933594,14512141
2020-01-14,109.5,110.0,108.5,109.5,94.21357727050781,11104620
2020-01-15,109.0,109.5,108.5,109.0,93.78337860107422,12586074
2020-01-16,109.0,109.5,108.5,109.5,94.21357727050781,9307953
2020-01-17,109.5,110.0,109.0,109.5,94.21357727050781,8230953
2020-01-20,109.5,110.0,109.0,109.5,94.21357727050781,7200798
2020-01-30,108.5,109.0,108.0,108.5,93.35318756103516,17623824
2020-01-31,107.5,109.0,107.5,108.0,92.92298889160156,15266293
2020-02-03,107.5,108.0,107.0,108.0,92.92298889160156,12973281
2020-02-04,111.5,112.0,108.0,108.0,92.92298889160156,13601163
2020-02-05,108.0,108.5,108.0,108.0,92.92298889160156,7127971
2020-02-06,108.5,109.0,108.5,108.5,93.35318756103516,5967464
2020-02-07,109.0,109.0,108.5,109.0,93.78337860107422,7526636
2020-02-10,109.0,109.0,108.0,109.0,93.78337860107422,6295322
2020-02-11,109.0,109.5,108.5,108.5,93.35318756103516,3888202
2020-02-12,109.0,109.0,108.5,108.5,93.35318756103516,6959768
2020-02-13,109.0,109.5,108.5,109.5,94.21357727050781,5627386
2020-02-14,109.5,109.5,109.0,109.0,93.78337860107422,3179443
2020-02-17,109.0,110.0,109.0,110.0,94.64378356933594,4343114
2020-02-18,109.5,110.0,109.5,109.5,94.21357727050781,2812057
2020-02-19,110.0,110.5,109.5,110.0,94.64378356933594,4873771
2020-02-20,110.0,110.5,109.5,109.5,94.21357727050781,6727345
2020-02-21,109.5,110.0,109.5,109.5,94.21357727050781,4980603
2020-02-24,109.5,109.5,108.5,108.5,93.35318756103516,7465889
2020-02-25,108.5,109.0,108.0,108.5,93.35318756103516,5278040
2020-02-26,108.0,109.0,108.0,108.0,92.92298889160156,6856707
2020-02-27,108.0,108.5,108.0,108.0,92.92298889160156,8037695
2020-03-02,107.5,108.0,107.0,108.0,92.92298889160156,11114123
2020-03-03,108.0,109.0,108.0,108.0,92.92298889160156,7103100
2020-03-04,108.5,109.0,108.0,109.0,93.78337860107422,4346670
2020-03-05,109.5,110.0,109.0,110.0,94.64378356933594,6645546
2020-03-06,109.5,110.0,108.5,108.5,93.35318756103516,7553751
2020-03-09,108.0,108.0,107.5,107.5,92.49279022216797,9024036
2020-03-10,107.0,108.5,107.0,107.5,92.49279022216797,10880267
2020-03-11,108.0,108.5,107.5,108.5,93.35318756103516,9091040
2020-03-12,108.0,108.5,107.0,107.5,92.49279022216797,16766527
2020-03-13,106.5,107.0,103.0,106.0,91.20219421386719,34147652
2020-03-16,106.5,107.0,105.0,105.0,90.341796875,16463671
